campaign_id,cost_before,clicks_before,cost_after,clicks_after
id_0199,108.9,35,74.8,28
id_0200,436.09,90,773.54,153
id_0201,418.72,120,620.45,183
id_0202,9.46,5,11.43,8
id_0203,66.0,23,118.24,38
id_0204,109.82,27,181.33,46
id_0205,91.95,40,102.1,41
id_0206,192.76,64,295.98,96
id_0207,42.0,9,81.93,21
id_0208,107.27,44,172.28,74
id_0209,512.91,122,682.63,168
id_0210,142.45,47,329.84,106
id_0211,250.1,52,550.77,103
id_0212,27.61,7,48.03,11
id_0213,29.36,9,17.43,5
id_0214,117.77,12,206.34,22
id_0215,142.17,17,220.85,29
id_0216,60.37,20,178.03,43
id_0217,106.27,43,174.79,75
id_0218,53.29,9,276.83,41
id_0219,150.32,36,217.5,51
id_0220,136.47,30,130.39,36
id_0221,217.5,62,713.97,184
id_0222,159.13,54,159.63,62
id_0223,62.66,24,149.81,57
id_0224,1258.44,162,1620.59,220
id_0225,405.51,63,925.9,144
id_0226,1723.04,368,2600.14,542
id_0227,592.9,121,782.39,164
id_0228,132.59,44,139.36,46
id_0229,683.13,292,590.06,272
id_0230,348.3,104,465.24,152
id_0231,307.02,123,265.52,110
id_0232,13.42,4,25.55,6
id_0233,24.62,8,137.79,44
id_0234,2370.54,646,2300.96,699
id_0235,115.83,69,151.39,99
id_0236,274.23,104,462.13,171
id_0237,291.02,140,1423.97,570
id_0238,18.47,8,40.5,16
id_0239,327.58,109,527.06,193
id_0240,327.72,94,448.13,128
id_0241,19.34,4,64.43,16
id_0242,245.01,47,360.66,69
id_0243,55.4,27,65.49,32
id_0244,1836.43,835,3617.89,1516
id_0245,1711.34,860,3428.46,1630
id_0246,20.57,10,27.48,10
id_0247,509.49,199,570.01,235
id_0248,106.27,18,171.54,30
id_0249,41.4,16,79.84,28
id_0250,320.29,144,366.92,176
id_0251,5.88,2,32.22,13
id_0252,95.42,38,243.71,93
id_0253,12.5,8,16.87,15
id_0254,14.72,7,24.31,13
id_0255,13.7,10,11.24,8
id_0256,54.44,57,55.96,69
id_0257,1370.65,348,2095.19,541
id_0258,1296.94,731,3072.06,1351
id_0259,176.98,66,605.94,196
id_0260,38.01,8,129.28,17
id_0261,482.38,194,803.36,318
id_0262,45.0,13,99.39,28
id_0263,22.86,12,54.02,30
id_0264,37.53,11,112.37,36
id_0265,42.34,23,127.08,70
id_0266,108.4,20,146.22,36
id_0267,60.34,22,89.84,26
id_0268,103.69,40,118.33,52
id_0269,50.61,14,113.43,22
id_0270,10.4,3,40.74,12
id_0271,1.56,1,6.9,7
id_0272,16.67,17,24.13,26
id_0273,25.49,15,72.18,37
id_0274,3.54,1,16.05,7
id_0275,25.75,17,55.53,29
id_0276,100.36,68,272.11,164
id_0277,112.94,40,216.89,78
id_0278,84.36,43,34.15,24
id_0279,374.45,162,201.93,94
id_0280,943.94,318,1179.87,474
id_0281,55.12,43,31.79,26
id_0282,670.96,228,562.25,192
id_0283,378.79,193,613.98,298
id_0284,288.0,102,500.26,199
id_0285,135.62,33,201.99,43
id_0286,54.28,12,96.96,15
id_0287,253.3,35,623.27,102
id_0288,82.28,7,206.09,30
id_0289,3.18,1,24.21,5
id_0290,15.47,5,27.5,8
id_0291,3.89,1,4.75,2
id_0292,3.47,2,14.92,8
id_0293,20.49,5,35.18,11
id_0294,1.8,1,15.14,5
id_0295,83.25,41,183.08,91
id_0296,113.67,36,116.63,34
id_0297,65.46,16,97.9,25
id_0298,0.82,1,2.69,2
id_0299,19.83,10,21.17,10
id_0300,8.7,9,29.33,30
id_0301,19.64,8,58.79,24
id_0302,10.96,3,2.42,1
id_0303,121.4,77,199.32,128
id_0304,44.89,24,46.05,25
id_0305,11.48,4,43.0,15
id_0306,125.96,73,190.54,110
id_0307,124.16,45,249.4,83
id_0308,312.07,80,368.88,105
id_0309,71.54,30,147.66,53
id_0310,191.29,56,199.53,55
id_0311,74.02,55,26.33,31
id_0312,31.1,20,11.72,12
id_0313,3.8,2,11.92,8
id_0314,89.96,50,123.42,66
id_0315,13.39,9,9.51,7
id_0316,839.45,177,1276.45,300
id_0317,44.25,29,93.32,54
id_0318,9.37,3,40.6,10
id_0319,28.52,21,45.17,36
id_0320,76.68,80,95.62,93
id_0321,32.64,13,42.61,17
id_0322,1452.67,461,2676.93,937
id_0323,1627.69,667,2984.62,1302
id_0324,1414.52,298,1905.66,406
id_0325,2385.14,608,3047.95,789
id_0326,1555.08,321,3106.65,762
id_0327,1115.07,383,1866.6,560
id_0328,5819.94,462,11558.61,935
id_0329,4846.54,560,6379.76,821
id_0330,2196.95,958,3784.55,1617
id_0331,619.12,436,983.09,631
id_0332,794.71,248,1601.71,486
id_0333,683.06,272,784.47,315
id_0334,780.88,215,1324.95,384
id_0335,268.3,130,293.56,145
id_0336,58.13,13,89.68,22
id_0337,118.81,34,123.51,44
id_0338,25.51,6,44.3,11
id_0339,113.21,36,170.88,54
id_0340,143.03,35,173.63,56
id_0341,230.53,69,258.68,103
id_0342,429.05,73,972.86,207
id_0343,498.92,98,500.19,118
id_0344,15.74,3,11.06,2
id_0345,33.42,9,78.71,19
id_0346,7.79,3,4.9,3
id_0347,361.07,127,365.43,143
id_0348,523.44,269,481.29,270
id_0349,11.22,5,65.79,30
id_0350,6.54,5,104.93,53
id_0351,203.78,36,275.98,53
id_0352,128.84,31,207.56,48
id_0353,2.58,1,11.32,4
id_0354,28.07,6,96.41,13
id_0355,78.33,22,31.27,12
id_0356,78.73,37,47.32,27
id_0357,23.31,7,114.27,31
id_0358,45.11,16,38.53,13
id_0359,44.24,9,110.57,21
id_0360,580.03,108,791.23,164
id_0361,32.85,22,8.99,7
id_0362,26.82,20,12.02,14
id_0363,53.57,15,53.32,16
id_0364,41.57,16,71.95,23
id_0365,115.05,39,321.06,90
id_0366,336.23,105,572.18,173
id_0367,1371.33,195,2872.13,388
id_0368,1041.81,194,1672.69,312
id_0369,413.49,115,960.59,225
id_0370,505.38,164,558.89,213
id_0371,21.49,6,112.46,25
id_0372,95.57,26,150.07,41
id_0373,3.56,2,8.55,5
id_0374,3.4,2,1.08,1
id_0375,86.95,22,179.9,48
id_0376,577.04,185,1486.98,403
id_0377,324.8,55,459.21,87
id_0378,685.1,148,790.62,178
id_0379,105.87,14,429.32,66
id_0380,92.38,17,154.02,29
id_0381,247.26,74,496.94,153
id_0382,545.25,208,926.72,353
id_0383,45.36,14,317.78,88
id_0384,46.66,17,260.68,84
id_0385,217.81,95,335.7,162
id_0386,710.21,344,788.03,431
id_0387,136.39,26,328.99,54
id_0388,62.61,20,181.65,62
id_0389,264.8,93,934.76,293
id_0390,406.05,166,826.32,319
id_0391,3044.43,319,4394.21,458
id_0392,3247.84,509,3139.16,537
id_0393,54.99,24,93.4,38
id_0394,78.31,42,118.72,62
id_0395,353.92,69,591.46,131
id_0396,898.7,276,839.76,271
id_0397,764.49,183,1104.03,296
id_0398,432.19,142,431.79,146
id_0399,724.76,192,2084.81,424
id_0400,333.93,89,486.0,151
id_0401,3348.53,916,6207.28,1564
id_0402,1307.39,554,2570.36,980
id_0403,336.48,97,593.57,192
id_0404,336.27,104,313.66,120
id_0405,1164.77,256,1522.09,367
id_0406,503.31,128,530.88,145
id_0407,1612.0,364,5758.87,1156
id_0408,1404.5,488,4177.16,1234
id_0409,140.66,47,222.27,70
id_0410,770.13,258,910.23,326
id_0411,153.44,32,387.68,63
id_0412,345.96,82,562.99,126
id_0413,36.58,12,39.94,13
id_0414,1115.09,308,1480.94,438
id_0415,241.99,171,389.65,284
id_0416,1.36,1,16.31,12
id_0417,18.73,8,118.3,43
id_0418,68.72,28,188.25,71
id_0419,3936.88,2218,7334.46,4153
id_0420,504.98,151,1121.66,344
id_0421,300.43,201,506.23,356
id_0422,8.47,5,36.78,24
id_0423,2265.67,1316,4519.97,2780
id_0424,320.53,319,500.09,559
id_0425,3.73,3,3.48,3
id_0426,125.66,54,224.87,83
id_0427,90.22,40,101.2,45
id_0428,1829.29,1466,3498.58,2777
id_0429,81.81,32,148.54,64
id_0430,890.91,738,866.33,750
id_0431,65.11,47,45.82,39
id_0432,646.67,495,925.35,767
id_0433,248.98,94,355.1,132
id_0434,62.19,20,66.51,19
id_0435,62.66,13,89.01,21
id_0436,4110.26,1070,7611.36,2064
id_0437,151.42,31,370.4,67
id_0438,43.59,10,75.67,21
id_0439,181.28,73,240.91,102
id_0440,82.61,25,140.28,43
id_0441,1801.38,514,2979.71,901
id_0442,194.56,89,166.76,82
id_0443,1.82,1,9.81,4
id_0444,617.61,149,794.0,201
id_0445,84.87,22,95.69,28
id_0446,5978.74,1784,9430.52,2826
id_0447,20.44,4,51.86,13
id_0448,116.1,25,100.85,29
id_0449,311.23,133,267.74,121
id_0450,171.14,54,205.98,75
id_0451,465.35,171,468.98,172
id_0452,113.89,64,267.35,153
id_0453,209.26,141,301.04,230
id_0454,414.01,104,515.45,135
id_0455,329.52,96,514.15,147
id_0456,15.16,5,34.87,14
id_0457,32.59,8,44.58,12
id_0458,47.27,16,58.2,19
id_0459,274.06,65,1180.45,248
id_0460,43.51,27,61.28,34
id_0461,44.83,19,147.78,49
id_0462,147.12,62,190.84,76
id_0463,227.4,90,506.15,173
id_0464,11.71,5,21.83,7
id_0465,27.56,6,58.28,12
id_0466,89.58,20,177.26,42
id_0467,277.96,58,720.33,134
id_0468,10.95,7,25.46,13
id_0469,62.22,16,168.82,39
id_0470,183.77,49,293.09,79
id_0471,507.48,125,755.63,173
id_0472,533.1,88,655.33,118
id_0473,460.79,216,943.56,377
id_0474,235.01,48,381.46,81
id_0475,1867.63,789,2219.35,1096
id_0476,1916.31,253,3972.44,578
id_0477,42.54,10,49.6,11
id_0478,352.63,99,736.38,222
id_0479,454.01,151,2540.3,945
id_0480,1446.53,270,2012.73,444
id_0481,152.55,38,126.9,33
id_0482,454.75,227,828.42,432
id_0483,309.01,136,308.82,147
id_0484,1447.86,1012,1796.34,1296
id_0485,351.86,123,646.96,252
id_0486,7.7,5,13.79,10
id_0487,3.54,5,2.23,2
id_0488,113.95,109,74.48,75
id_0489,341.54,407,200.46,261
id_0490,15.02,4,74.12,27
id_0491,75.31,31,224.39,89
id_0492,3.55,4,2.25,3
id_0493,2.54,2,28.5,9
id_0494,5.07,3,4.9,2
id_0495,8.17,3,35.31,11
id_0496,13.31,5,18.26,7
id_0497,120.17,93,66.87,48
id_0498,115.08,62,493.81,255
id_0499,239.91,49,258.8,53
id_0500,162.52,76,394.0,218
id_0501,912.85,149,1830.81,329
id_0502,13.02,2,26.6,4
id_0503,141.8,32,290.82,56
id_0504,208.39,127,200.43,119
id_0505,15.69,4,25.39,6
id_0506,31.19,5,111.78,9
id_0507,18.41,2,59.37,10
id_0508,41.33,5,37.48,4
id_0509,117.41,20,64.57,10
id_0510,320.92,101,417.17,134
id_0511,11.15,4,65.8,18
id_0512,2.55,3,2.84,2
id_0513,144.3,53,209.5,77
id_0514,11.75,4,25.45,12
id_0515,109.25,16,494.09,67
id_0516,235.17,48,383.7,80
id_0517,93.97,16,318.46,55
id_0518,31.85,13,73.2,30
id_0519,27.17,8,115.33,24
id_0520,82.33,21,103.36,30
id_0521,387.87,76,945.05,184
id_0522,87.9,37,44.07,20
id_0523,551.44,119,771.52,172
id_0524,61.9,16,73.66,23
id_0525,190.68,35,329.36,76
id_0526,744.05,161,1062.36,241
id_0527,12.01,5,9.46,3
id_0528,181.38,51,255.38,86
id_0529,88.87,13,319.25,41
id_0530,29.31,5,82.99,15
id_0531,11.48,2,41.82,7
id_0532,8.66,2,20.97,9
id_0533,85.99,17,227.88,39
id_0534,200.2,43,323.46,67
id_0535,57.97,14,249.35,54
id_0536,139.48,36,241.71,66
id_0537,2179.06,304,4097.98,566
id_0538,900.44,220,1946.96,487
id_0539,2283.64,425,3414.01,636
id_0540,765.51,234,1176.81,388
id_0541,26.45,21,50.71,38
id_0542,48.83,18,150.65,43
id_0543,3.31,1,9.07,5
id_0544,43.66,40,75.64,65
id_0545,31.34,15,42.43,18
id_0546,0.56,1,10.4,5
id_0547,29.78,15,160.91,55
id_0548,70.68,13,165.49,41
id_0549,11.77,3,71.3,18
id_0550,147.05,26,261.55,39
id_0551,25.38,14,62.79,28
id_0552,13.95,4,11.45,5
id_0553,15.46,5,34.25,12
id_0554,385.53,75,426.56,87
id_0555,3197.39,428,4201.25,558
id_0556,95.39,37,147.05,70
id_0557,243.88,90,216.66,87
id_0558,725.37,263,1218.21,448
id_0559,157.03,44,169.94,53
id_0560,759.48,444,1413.88,822
id_0561,2272.57,488,4576.24,960
id_0562,830.95,99,1509.28,211
id_0563,1744.95,763,2055.89,943
id_0564,196.08,85,5.05,2
id_0565,1983.72,276,3260.86,485
id_0566,96.24,81,129.09,104
id_0567,1494.13,238,2178.35,339
id_0568,1573.9,278,2800.79,550
id_0569,2095.15,1462,3094.38,2152
id_0570,7.62,3,68.43,18
id_0571,146.2,14,404.62,49
id_0572,270.73,63,381.57,95
id_0573,279.16,77,339.09,105
id_0574,12.86,10,15.43,9
id_0575,30.62,13,64.28,44
id_0576,1695.42,469,2953.4,753
id_0577,641.54,247,645.52,272
id_0578,41.17,33,35.52,34
id_0579,468.42,48,630.34,77
id_0580,857.96,108,1036.03,149
id_0581,544.63,77,530.92,81
id_0582,60.22,14,125.92,25
id_0583,30.72,8,130.65,23
id_0584,809.7,90,1652.24,204
id_0585,19.01,10,32.37,24
id_0586,583.49,205,799.82,283
id_0587,1030.4,189,1644.4,306
id_0588,12.86,2,55.5,7
id_0589,188.24,40,320.7,65
id_0590,44.44,11,71.81,24
id_0591,94.41,36,139.05,57
id_0592,46.83,13,80.01,29
id_0593,1468.21,226,1536.82,268
id_0594,58.46,17,74.04,24
id_0595,1043.6,95,1607.03,158
id_0596,56.49,25,60.71,26
id_0597,0.52,1,0.35,1
id_0598,541.65,261,204.36,102
id_0599,65.56,34,114.7,68
id_0600,703.98,108,1044.7,169
id_0601,144.55,37,166.27,38
id_0602,41.26,8,55.16,11
id_0603,6.16,2,16.65,8
id_0604,77.99,10,99.48,13
id_0605,182.96,28,245.74,36
id_0606,95.09,35,342.57,120
id_0607,50.56,11,106.69,28
id_0608,104.6,22,127.53,28
id_0609,14.43,4,3.16,1
id_0610,39.27,13,101.57,27
id_0611,3.09,2,8.8,3
id_0612,7.66,4,11.35,5
id_0613,21.63,5,43.47,14
id_0614,56.07,14,120.83,38
id_0615,124.8,53,144.07,61
id_0616,1960.05,756,3196.66,1207
id_0617,4.72,6,7.64,7
id_0618,194.88,91,378.31,193
id_0619,750.83,317,537.51,265
id_0620,144.11,76,617.3,353
id_0621,563.1,261,909.01,452
id_0622,21.41,6,60.71,23
id_0623,1400.64,753,1915.83,1017
id_0624,16.06,21,12.17,18
id_0625,197.46,145,342.67,258
id_0626,831.77,439,598.96,366
id_0627,540.53,391,1984.72,1350
id_0628,753.96,502,1555.26,1097
id_0629,14.53,8,29.45,14
id_0630,1161.6,225,2045.6,410
id_0631,1033.32,405,1480.26,593
id_0632,672.91,158,813.33,215
id_0633,170.35,59,252.04,91
id_0634,354.9,130,1115.89,426
id_0635,55.84,31,23.65,16
id_0636,481.68,194,1764.64,665
id_0637,27.23,7,55.6,11
id_0638,921.59,268,1423.53,444
id_0639,527.18,164,657.81,204
id_0640,839.41,367,851.43,392
id_0641,36.22,24,10.36,8
id_0642,305.68,105,431.65,159
id_0643,123.12,56,119.64,58
id_0644,567.9,234,1815.41,644
id_0645,1039.21,462,2372.47,961
id_0646,73.54,15,105.91,23
id_0647,995.44,318,1291.48,441
id_0648,265.0,92,764.49,258
id_0649,488.46,164,825.58,291
id_0650,52.47,6,64.57,15
id_0651,147.9,40,231.56,72
id_0652,235.2,100,356.39,166
id_0653,653.42,260,859.01,342
id_0654,134.48,31,126.31,29
id_0655,496.92,153,567.26,187
id_0656,226.27,30,394.81,60
id_0657,215.92,33,377.28,66
id_0658,296.62,26,461.08,43
id_0659,490.77,75,841.46,122
id_0660,37.98,9,38.27,9
id_0661,454.1,101,515.57,111
id_0662,175.12,35,243.35,47
id_0663,348.7,70,349.0,72
id_0664,1060.41,94,1396.94,140
id_0665,347.3,73,377.91,89
id_0666,169.6,45,158.84,45
id_0667,620.56,162,832.99,213
id_0668,158.98,46,176.06,57
id_0669,8.46,5,24.67,15
id_0670,6.0,3,3.41,2
id_0671,244.51,115,356.44,165
id_0672,11.72,7,10.52,7
id_0673,60.23,38,58.26,44
id_0674,1.2,1,2.07,2
id_0675,6.5,3,16.92,5
id_0676,174.03,42,48.26,15
id_0677,84.11,18,118.0,27
id_0678,20.01,9,55.78,25
id_0679,206.91,50,525.68,128
id_0680,44.85,12,217.54,49
id_0681,558.81,169,636.07,202
id_0682,2413.14,597,879.9,275
id_0683,106.27,38,130.06,35
id_0684,102.47,53,100.06,50
id_0685,255.92,86,462.83,156
id_0686,29.21,9,62.77,23
id_0687,656.98,113,978.47,172
id_0688,63.37,17,131.79,30
id_0689,155.21,35,161.48,46
id_0690,268.43,93,448.92,137
id_0691,137.8,18,247.63,43
id_0692,144.11,25,220.37,61
id_0693,106.66,37,135.5,55
id_0694,84.21,26,200.92,63
id_0695,222.26,87,488.17,166
id_0696,502.5,213,676.04,306
id_0697,153.57,70,251.98,128
id_0698,260.29,117,779.7,346
id_0699,222.11,105,194.5,94
id_0700,172.64,20,285.14,39
id_0701,106.52,25,215.11,54
id_0702,120.88,18,129.0,21
id_0703,187.86,37,354.96,74
id_0704,45.14,22,76.63,39
id_0705,167.12,90,195.59,132
id_0706,321.87,96,712.07,203
id_0707,2.65,2,14.95,9
id_0708,2.34,1,14.11,5
id_0709,56.12,22,46.4,21
id_0710,197.07,33,370.0,67
id_0711,82.09,48,118.21,62
id_0712,590.82,287,1142.74,540
id_0713,23.63,18,36.68,26
id_0714,151.53,85,427.08,219
id_0715,153.89,50,202.43,81
id_0716,93.37,9,195.62,26
id_0717,299.39,106,444.59,151
id_0718,36.79,62,64.36,85
id_0719,423.44,155,424.54,157
id_0720,7.3,2,8.76,4
id_0721,116.29,41,277.92,102
id_0722,44.2,10,171.3,40
id_0723,94.44,30,130.33,47
id_0724,79.62,24,159.54,39
id_0725,343.63,171,846.1,399
id_0726,30.83,11,121.29,39
id_0727,268.42,97,356.07,121
id_0728,841.37,368,1334.76,564
id_0729,62.86,24,79.7,33
id_0730,217.74,131,379.69,217
id_0731,4.91,4,72.77,44
id_0732,224.27,91,415.06,174
id_0733,38.79,11,122.57,35
id_0734,305.04,178,222.03,136
id_0735,184.16,79,392.81,175
id_0736,148.32,32,167.4,41
id_0737,50.57,15,56.08,22
id_0738,334.41,65,587.71,116
id_0739,84.67,18,128.8,28
id_0740,13.71,7,3.27,2
id_0741,8.77,3,53.64,7
id_0742,88.06,35,83.16,29
id_0743,38.85,22,50.03,29
id_0744,31.91,11,27.74,9
id_0745,190.25,87,306.45,152
id_0746,49.21,12,96.81,24
id_0747,76.34,14,57.77,14
id_0748,114.11,41,92.39,38
id_0749,143.25,47,171.56,49
id_0750,28.01,12,34.19,15
id_0751,67.99,23,53.66,19
id_0752,36.64,17,79.57,32
id_0753,105.34,25,235.34,50
id_0754,292.47,97,397.34,108
id_0755,162.98,51,213.08,70
id_0756,5.15,4,7.16,5
id_0757,14.82,6,43.75,15
id_0758,32.55,13,28.43,12
id_0759,1252.51,247,1633.77,379
id_0760,120.83,32,144.63,38
id_0761,66.57,36,97.49,53
id_0762,53.48,25,81.18,44
id_0763,89.59,20,146.9,35
id_0764,106.7,25,313.18,74
id_0765,347.32,48,584.44,93
id_0766,40.25,12,110.94,34
id_0767,1066.47,154,2289.92,334
id_0768,504.21,69,695.65,101
id_0769,472.01,106,948.42,184
id_0770,99.01,37,63.87,32
id_0771,2534.33,310,994.5,169
id_0772,176.04,42,232.14,55
id_0773,126.44,22,138.43,23
id_0774,12.67,6,11.27,6
id_0775,306.98,81,372.65,106
id_0776,6.25,4,26.35,17
id_0777,29.77,15,68.44,30
id_0778,790.09,151,844.91,170
id_0779,78.01,12,108.16,20
id_0780,4.28,3,28.43,8
id_0781,194.21,32,212.45,43
id_0782,39.96,15,71.97,25
id_0783,727.52,98,783.73,108
id_0784,42.03,27,32.28,26
id_0785,89.18,17,213.04,35
id_0786,192.33,43,304.73,55
id_0787,21.69,6,20.77,7
id_0788,7.3,3,8.12,6
id_0789,203.84,28,362.95,51
id_0790,5.84,1,7.61,4
id_0791,243.59,15,565.29,38
id_0792,71.79,23,195.76,58
id_0793,7.42,2,6.61,2
id_0794,77.54,11,261.96,36
id_0795,241.22,87,302.23,113
id_0796,644.63,103,1126.75,170
id_0797,112.21,26,149.14,42
id_0798,1551.55,158,2922.61,341
id_0799,781.0,146,2109.86,350
id_0800,60.27,12,234.1,37
id_0801,136.77,19,542.86,62
id_0802,86.92,19,146.39,30
id_0803,159.69,27,304.46,50
