ID,HEIGHT,WEIGHT
202683_2016,83,245
202339_2016,73,205
201569_2016,76,215
101141_2016,82,235
203095_2016,79,205
202323_2016,79,220
1626163_2016,84,240
1627832_2016,72,195
202066_2016,78,195
203914_2016,76,210
202390_2016,76,210
1627780_2016,75,190
201588_2016,75,188
1627777_2016,80,230
1627834_2016,85,240
101123_2016,79,205
201945_2016,77,215
203507_2016,83,222
203922_2016,78,222
201609_2016,75,190
202330_2016,80,226
203476_2016,83,240
202328_2016,83,265
202349_2016,78,217
203084_2016,80,225
202355_2016,84,265
1627740_2016,83,245
203138_2016,80,206
203546_2016,75,175
101133_2016,83,262
202697_2016,77,220
203477_2016,72,201
1627819_2016,75,170
202738_2016,69,185
1627785_2016,76,213
202397_2016,72,175
1627826_2016,85,240
200826_2016,72,185
200755_2016,76,190
2747_2016,78,225
203210_2016,81,227
201580_2016,84,270
203953_2016,80,250
203109_2016,78,235
1626143_2016,83,275
1627774_2016,81,210
1627751_2016,84,230
2037_2016,77,195
1627750_2016,76,207
2749_2016,72,190
203516_2016,79,210
201935_2016,77,220
201949_2016,81,250
2592_2016,80,218
203949_2016,81,240
203923_2016,78,215
201162_2016,79,225
203096_2016,81,260
204067_2016,79,218
1626185_2016,82,239
203950_2016,81,255
101127_2016,75,200
1627784_2016,81,221
201160_2016,84,240
1891_2016,74,185
1627759_2016,79,225
201145_2016,81,235
201952_2016,74,186
203481_2016,84,231
203924_2016,81,210
203087_2016,77,185
202391_2016,75,200
1626170_2016,76,198
201573_2016,75,200
202710_2016,79,231
201149_2016,83,230
201975_2016,76,210
203925_2016,78,219
204060_2016,80,226
2207_2016,79,240
1626202_2016,74,180
201202_2016,81,245
1627762_2016,81,235
203954_2016,84,250
203530_2016,83,220
203089_2016,83,229
203098_2016,76,215
101249_2016,71,166
202322_2016,76,210
203948_2016,81,257
202720_2016,82,228
201973_2016,82,231
202685_2016,84,255
1626780_2016,74,185
203613_2016,78,195
203903_2016,77,194
202348_2016,77,195
200770_2016,74,180
201941_2016,82,240
203895_2016,77,179
1626175_2016,80,235
101181_2016,75,200
203962_2016,79,230
201177_2016,82,240
1626196_2016,78,200
201950_2016,76,205
1627823_2016,81,230
203944_2016,81,250
1626147_2016,78,228
203120_2016,84,255
202712_2016,82,225
203200_2016,78,185
1626159_2016,79,225
203994_2016,84,280
203909_2016,78,205
1626157_2016,84,244
202695_2016,79,230
1627770_2016,69,176
203482_2016,84,238
1626162_2016,79,205
202689_2016,73,184
202702_2016,80,228
203145_2016,77,201
203484_2016,77,205
201142_2016,81,240
201567_2016,82,251
202338_2016,82,278
1626172_2016,81,220
203114_2016,80,234
202691_2016,79,215
201585_2016,84,265
1627739_2016,76,205
2743_2016,81,235
204001_2016,87,240
203937_2016,81,230
2594_2016,79,212
200768_2016,72,205
203124_2016,82,250
202713_2016,80,228
1627787_2016,82,240
202681_2016,75,193
200746_2016,83,260
203934_2016,77,225
202362_2016,77,230
202498_2016,80,235
204038_2016,74,200
1626204_2016,81,230
202336_2016,83,230
202730_2016,81,260
2544_2016,80,250
2571_2016,75,194
101150_2016,73,175
201601_2016,80,230
203512_2016,84,220
2449_2016,81,241
202337_2016,81,225
2736_2016,81,220
1627781_2016,78,205
1627763_2016,77,215
1627098_2016,75,190
1627736_2016,77,196
202412_2016,77,185
1938_2016,78,205
201188_2016,85,255
1626273_2016,75,200
101162_2016,83,240
201158_2016,77,210
1627875_2016,78,220
202694_2016,81,235
203935_2016,76,220
201977_2016,76,205
1626209_2016,80,218
202693_2016,82,245
1627737_2016,82,233
201578_2016,82,255
1627850_2016,84,250
101107_2016,81,237
203486_2016,83,255
2440_2016,79,226
203521_2016,76,198
203090_2016,81,220
1626254_2016,81,200
1897_2016,79,260
203086_2016,85,255
201563_2016,82,235
203487_2016,78,190
1627771_2016,79,200
203077_2016,79,232
201144_2016,73,175
2399_2016,81,230
2034_2016,80,218
203488_2016,83,240
203118_2016,80,237
1627861_2016,84,260
203101_2016,83,249
1627851_2016,81,215
203141_2016,81,245
101145_2016,75,185
1626149_2016,80,240
1626167_2016,83,243
202357_2016,82,225
2403_2016,83,250
203457_2016,83,228
2555_2016,82,255
201156_2016,79,210
201587_2016,80,200
1627852_2016,80,215
1627879_2016,76,180
203917_2016,78,205
203999_2016,82,250
202703_2016,82,238
202696_2016,84,260
203943_2016,81,245
1626181_2016,76,215
202708_2016,74,175
1627855_2016,80,204
201600_2016,84,255
201956_2016,81,225
203490_2016,80,198
200782_2016,78,245
1627783_2016,81,230
1626192_2016,77,210
1627868_2016,78,203
201976_2016,73,185
1627775_2016,79,185
202335_2016,81,235
201988_2016,72,185
2200_2016,84,250
202331_2016,81,220
200794_2016,80,246
1718_2016,79,235
1627835_2016,80,210
203510_2016,70,180
203112_2016,79,240
1626188_2016,74,179
1626154_2016,77,185
200765_2016,73,186
1626176_2016,81,250
201196_2016,75,190
200751_2016,76,218
1626173_2016,78,202
203526_2016,73,179
101109_2016,73,205
203493_2016,79,205
202704_2016,75,208
202130_2016,78,205
2210_2016,79,233
1626158_2016,82,245
201937_2016,76,190
203496_2016,81,215
201577_2016,84,255
203918_2016,80,206
203585_2016,76,205
201155_2016,77,205
1627758_2016,76,220
1626178_2016,79,214
101179_2016,74,190
201579_2016,86,270
200752_2016,80,230
203497_2016,85,245
201566_2016,75,200
201583_2016,82,240
203527_2016,83,230
1626257_2016,86,245
1626155_2016,81,230
2756_2016,79,195
203930_2016,76,219
203902_2016,75,190
201586_2016,82,235
200771_2016,75,176
203552_2016,74,185
203498_2016,78,223
203894_2016,73,175
2733_2016,79,192
1627848_2016,81,255
1627815_2016,78,200
202714_2016,75,203
1627746_2016,83,225
203524_2016,79,225
203915_2016,78,200
201150_2016,85,245
1626169_2016,79,245
201939_2016,75,190
1627757_2016,84,240
200779_2016,82,225
203500_2016,84,255
204456_2016,74,200
203933_2016,80,225
201959_2016,81,236
204028_2016,81,250
1627752_2016,80,220
203093_2016,81,255
203082_2016,79,195
1626179_2016,74,190
200757_2016,79,220
201152_2016,80,221
203080_2016,82,237
1627748_2016,85,223
201168_2016,83,245
204025_2016,73,170
203501_2016,78,205
1627817_2016,78,190
202389_2016,85,275
1627789_2016,78,205
202699_2016,81,235
203107_2016,79,210
201962_2016,74,195
2754_2016,76,213
2225_2016,74,185
203503_2016,79,217
1626203_2016,78,226
2772_2016,80,215
202344_2016,80,228
203504_2016,73,191
1626168_2016,82,234
202684_2016,81,238
203584_2016,76,205
1627786_2016,79,210
201951_2016,71,195
203898_2016,75,194
204020_2016,76,186
1627755_2016,70,150
203092_2016,84,253
201936_2016,78,220
2199_2016,85,240
1626145_2016,74,195
2617_2016,80,235
203506_2016,76,210
1713_2016,78,220
1627735_2016,76,202
201961_2016,76,200
1627782_2016,77,230
202325_2016,79,215
202083_2016,77,220
203115_2016,78,175
1626161_2016,84,240
203186_2016,83,245
1626195_2016,83,240
201163_2016,80,225
1627812_2016,72,180
203897_2016,77,185
2216_2016,81,260
2585_2016,83,275
201166_2017,72,161
203932_2017,81,220
1626151_2017,78,210
1628935_2017,75,183
1627846_2017,78,230
203940_2017,82,237
201143_2017,82,245
2744_2017,82,280
202329_2017,81,220
1626210_2017,80,265
202692_2017,78,214
1628409_2017,81,235
203518_2017,78,190
1627936_2017,77,186
203458_2017,85,250
1627816_2017,81,235
1628035_2017,80,215
203459_2017,78,215
101161_2017,81,240
203083_2017,83,279
2738_2017,78,215
201281_2017,75,190
203460_2017,79,210
101106_2017,84,260
1626150_2017,78,213
1628510_2017,79,210
203952_2017,80,202
1627790_2017,83,250
1626148_2017,79,224
203076_2017,82,253
201229_2017,80,240
1628469_2017,76,197
1628499_2017,78,195
203382_2017,82,260
201167_2017,77,210
203085_2017,76,200
202340_2017,74,180
1628389_2017,82,255
203463_2017,77,195
1628500_2017,80,220
1627732_2017,82,230
202687_2017,81,255
201933_2017,82,251
1626246_2017,87,290
201628_2017,74,175
1626171_2017,83,248
203992_2017,78,205
202711_2017,80,230
203078_2017,77,207
201148_2017,82,235
1627742_2017,81,190
201943_2017,73,170
203464_2017,76,200
1627362_2017,74,165
1627744_2017,82,230
201572_2017,84,268
203998_2017,81,205
1627854_2017,75,190
1627741_2017,76,214
203710_2017,77,230
203468_2017,75,190
101139_2017,78,225
1628403_2017,80,250
1626166_2017,75,185
1627747_2017,79,203
2546_2017,80,240
1626224_2017,80,215
202718_2017,82,230
101112_2017,83,255
1628429_2017,77,196
1627767_2017,81,220
1627778_2017,82,245
1628449_2017,82,200
1626191_2017,81,215
101108_2017,72,175
203991_2017,82,240
203469_2017,84,240
202332_2017,83,253
201147_2017,81,186
202709_2017,75,190
201584_2017,77,200
1626245_2017,81,280
1626156_2017,77,195
201571_2017,72,183
1628391_2017,82,236
1626177_2017,84,255
1627745_2017,84,245
203081_2017,75,195
2863_2017,78,217
1627814_2017,78,210
1628422_2017,77,210
1627772_2017,79,195
1628464_2017,81,243
201568_2017,82,225
201980_2017,78,215
201967_2017,80,230
203957_2017,78,190
1627863_2017,79,220
203967_2017,82,223
203121_2017,80,225
201589_2017,81,235
201954_2017,74,185
1626199_2017,78,220
1628021_2017,76,209
204065_2017,71,165
2561_2017,81,250
202722_2017,82,210
1628432_2017,78,210
1628368_2017,75,175
201599_2017,83,265
202732_2017,78,209
1627761_2017,78,210
201942_2017,79,220
202326_2017,83,270
201960_2017,80,215
1627749_2017,77,170
1626153_2017,77,190
1627743_2017,73,201
203471_2017,73,172
1628372_2017,75,195
1627756_2017,78,214
202324_2017,82,265
1627884_2017,79,200
201565_2017,75,190
1628476_2017,73,185
1628401_2017,76,190
202682_2017,80,240
1626164_2017,78,210
2734_2017,75,185
1628421_2017,80,200
203473_2017,84,245
1627738_2017,83,237
1628415_2017,78,220
203079_2017,76,215
1717_2017,84,245
1627734_2017,82,252
1628378_2017,75,215
1627827_2017,80,220
203926_2017,80,219
1627733_2017,85,225
203110_2017,79,230
1628407_2017,79,221
202779_2017,75,190
2730_2017,83,265
203939_2017,83,240
2548_2017,76,220
202734_2017,76,191
202334_2017,82,245
1628410_2017,77,188
202327_2017,82,245
203901_2017,76,185
2731_2017,82,255
1626144_2017,77,200
202683_2017,83,245
202339_2017,73,205
201569_2017,76,215
203961_2017,82,238
1628571_2017,80,225
101141_2017,82,235
203095_2017,79,205
202323_2017,79,220
1626163_2017,84,242
1628412_2017,71,190
1628373_2017,77,190
1627832_2017,72,195
1627788_2017,79,190
202066_2017,78,195
203914_2017,76,210
1627780_2017,75,190
201588_2017,75,188
1627777_2017,78,231
1627834_2017,85,240
101123_2017,79,205
1628492_2017,76,185
203507_2017,83,222
203922_2017,79,215
201609_2017,75,190
202330_2017,80,226
203476_2017,83,251
202328_2017,83,265
1627824_2017,80,260
203084_2017,80,225
202355_2017,84,265
1627740_2017,83,245
203546_2017,75,175
101133_2017,83,262
1628387_2017,82,262
202697_2017,77,220
203477_2017,72,201
1628439_2017,81,242
1627819_2017,75,170
202738_2017,69,185
1627785_2017,76,213
202397_2017,72,175
1628397_2017,82,220
1627826_2017,85,240
200826_2017,72,185
200755_2017,76,200
2747_2017,78,225
203960_2017,81,207
203210_2017,81,227
201580_2017,84,270
1628444_2017,78,198
203953_2017,80,250
204022_2017,82,274
1626643_2017,73,200
1628451_2017,80,223
203109_2017,78,235
1626143_2017,83,260
1627774_2017,81,210
1627751_2017,84,230
1627883_2017,79,220
2037_2017,77,185
1627750_2017,76,207
1627866_2017,80,260
2749_2017,72,190
1628503_2017,79,213
203516_2017,79,210
201935_2017,77,220
201949_2017,80,240
203949_2017,81,230
1627821_2017,81,202
203923_2017,78,215
203966_2017,79,229
201162_2017,79,240
204067_2017,79,218
1626185_2017,82,239
1628386_2017,83,234
101127_2017,75,200
201160_2017,84,240
1891_2017,74,185
1628393_2017,72,190
1627759_2017,79,225
1628537_2017,77,185
1628369_2017,80,205
201145_2017,81,235
201952_2017,74,189
203481_2017,84,230
203924_2017,81,220
202379_2017,81,200
203087_2017,77,185
202391_2017,75,200
1626170_2017,76,198
201573_2017,75,200
202710_2017,80,236
201149_2017,83,230
201975_2017,76,210
203925_2017,78,219
204060_2017,80,226
2207_2017,79,240
1626202_2017,74,185
1627762_2017,81,235
203954_2017,84,250
203530_2017,83,260
1628381_2017,82,235
203089_2017,83,229
204066_2017,77,205
202322_2017,76,210
1628405_2017,82,230
203948_2017,81,257
202720_2017,82,228
201973_2017,82,231
202685_2017,84,255
1626780_2017,74,185
1628371_2017,82,210
203613_2017,78,195
1628395_2017,81,224
203903_2017,77,194
202348_2017,77,195
1626175_2017,80,235
101181_2017,75,200
1627982_2017,73,180
1628404_2017,77,215
203962_2017,79,230
1628367_2017,80,200
203705_2017,73,160
201177_2017,82,240
1626196_2017,78,200
2746_2017,81,225
201950_2017,76,205
1627823_2017,81,230
203944_2017,81,250
202933_2017,78,200
1626147_2017,78,230
203200_2017,78,185
1628382_2017,80,210
1628383_2017,84,236
1626159_2017,79,225
203994_2017,84,280
1628443_2017,75,200
1626157_2017,84,248
202695_2017,79,230
1627770_2017,69,176
203482_2017,84,245
1626162_2017,79,205
202689_2017,73,184
2570_2017,82,270
202702_2017,80,228
203145_2017,77,201
203484_2017,77,205
201142_2017,81,240
201567_2017,82,251
1626172_2017,81,220
203920_2017,81,220
203114_2017,80,234
202691_2017,79,215
1628424_2017,76,170
201585_2017,84,265
1627739_2017,76,210
204001_2017,87,240
203937_2017,81,230
1627858_2017,78,210
2594_2017,79,212
1628398_2017,81,220
200768_2017,72,205
203124_2017,82,250
202713_2017,80,228
202681_2017,75,193
200746_2017,83,260
202362_2017,78,230
202498_2017,80,235
204038_2017,74,200
203580_2017,74,180
1626204_2017,81,230
1628374_2017,84,230
2544_2017,80,250
1628506_2017,74,190
1628366_2017,78,190
203485_2017,77,189
101150_2017,73,175
201601_2017,80,230
203512_2017,84,220
1626242_2017,79,200
202337_2017,81,225
1628379_2017,77,200
1628436_2017,85,250
2736_2017,81,220
1627781_2017,78,205
1627763_2017,77,215
1627098_2017,75,190
1626259_2017,79,210
1627736_2017,77,196
1628370_2017,75,200
1628493_2017,82,230
1938_2017,78,205
202705_2017,77,200
201188_2017,85,255
101162_2017,83,240
201158_2017,77,210
1627875_2017,77,226
202694_2017,81,235
1627779_2017,72,164
203935_2017,76,220
201596_2017,74,190
1626209_2017,80,218
203900_2017,75,190
1628365_2017,76,200
202693_2017,82,245
1627737_2017,82,240
203104_2017,74,189
201578_2017,82,255
1627850_2017,84,250
101107_2017,81,237
203486_2017,83,255
1627856_2017,82,240
1628475_2017,77,210
203521_2017,76,198
203090_2017,81,220
1628467_2017,83,220
203086_2017,85,255
201563_2017,81,235
203487_2017,78,190
203077_2017,79,232
201144_2017,73,175
1628455_2017,73,195
203488_2017,83,240
203118_2017,80,237
203101_2017,83,249
1628462_2017,77,196
1628495_2017,76,180
1627851_2017,81,215
203141_2017,81,242
1628420_2017,75,175
1626149_2017,80,240
1627988_2017,78,210
1626167_2017,83,255
203489_2017,76,190
1628513_2017,76,218
202357_2017,82,230
2403_2017,83,250
203457_2017,83,220
2555_2017,82,255
201156_2017,79,210
201587_2017,80,200
1627852_2017,80,195
1628502_2017,79,254
203917_2017,78,205
203999_2017,82,250
202703_2017,82,238
202696_2017,84,260
203943_2017,81,245
1626181_2017,76,215
1628384_2017,80,235
1627855_2017,80,215
204179_2017,81,220
201600_2017,84,255
201956_2017,81,225
203490_2017,80,198
200782_2017,78,245
1628408_2017,78,205
1627783_2017,81,230
1626192_2017,77,210
201976_2017,73,185
1627775_2017,79,185
202335_2017,81,230
201988_2017,72,185
2200_2017,84,250
202331_2017,81,220
200794_2017,80,246
1627835_2017,80,226
203112_2017,79,240
202347_2017,79,225
1626188_2017,74,179
1626154_2017,77,185
200765_2017,73,186
201196_2017,75,190
1626173_2017,78,202
203526_2017,73,179
101109_2017,73,205
203493_2017,79,205
203687_2017,77,210
202704_2017,75,208
2210_2017,79,233
1626158_2017,82,235
201937_2017,76,190
203496_2017,81,225
201577_2017,84,277
203918_2017,80,206
203585_2017,76,200
1628681_2017,76,205
1627758_2017,76,220
1626178_2017,79,214
1626220_2017,78,226
200752_2017,80,230
203497_2017,85,245
201566_2017,75,200
201583_2017,82,240
1627853_2017,75,195
1626257_2017,86,235
1626155_2017,81,230
203816_2017,79,204
203930_2017,76,212
1628400_2017,79,235
201586_2017,82,235
203498_2017,78,221
203894_2017,73,175
203499_2017,71,175
1627885_2017,76,190
2733_2017,79,192
202714_2017,75,203
1628414_2017,77,215
1627746_2017,83,225
203524_2017,79,225
203915_2017,78,200
1626169_2017,79,245
201939_2017,75,190
1628425_2017,78,230
203500_2017,84,255
1628388_2017,82,230
204456_2017,74,190
203933_2017,80,215
201959_2017,81,235
204028_2017,81,250
1627752_2017,80,220
1628390_2017,79,184
203082_2017,79,206
1626179_2017,74,190
200757_2017,79,220
201152_2017,80,230
1628418_2017,82,248
1627748_2017,85,223
204025_2017,73,170
203501_2017,78,205
1627817_2017,78,190
202389_2017,85,275
1627789_2017,78,200
202699_2017,81,235
203107_2017,79,210
2754_2017,76,213
1628396_2017,82,248
2225_2017,74,185
203503_2017,79,221
1628470_2017,78,215
204037_2017,82,225
1626203_2017,77,219
2772_2017,80,215
202344_2017,80,228
203504_2017,73,191
1626168_2017,82,234
203590_2017,77,220
202684_2017,81,238
203584_2017,76,205
1627786_2017,79,218
1628463_2017,81,238
1628416_2017,77,183
203898_2017,75,194
204020_2017,76,190
1628399_2017,81,220
1627755_2017,70,160
203092_2017,84,250
201936_2017,78,220
1627820_2017,77,198
2199_2017,85,240
1626145_2017,74,184
2617_2017,80,235
203505_2017,77,200
203506_2017,76,210
1713_2017,78,220
1626205_2017,80,208
1627735_2017,76,202
1627215_2017,75,180
201961_2017,77,200
1627782_2017,77,230
1628411_2017,79,195
202325_2017,79,215
202083_2017,77,220
203115_2017,78,190
1626161_2017,84,240
203186_2017,83,245
1626195_2017,83,240
201163_2017,81,225
204098_2017,76,173
1628504_2017,76,208
202918_2017,77,205
1627812_2017,72,180
1628380_2017,84,230
203897_2017,77,185
2216_2017,81,250
2585_2017,83,270
1627753_2017,85,210
203932_2018,81,220
1628988_2018,73,185
1627846_2018,78,225
201143_2018,82,245
202329_2018,81,220
1626210_2018,80,265
202692_2018,78,214
203518_2018,78,200
1627936_2018,77,186
203458_2018,85,250
1627816_2018,81,235
1628035_2018,80,215
1628993_2018,81,212
203459_2018,78,212
1629019_2018,77,200
1628518_2018,81,222
101161_2018,81,240
203083_2018,83,279
2738_2018,78,215
201281_2018,75,190
101106_2018,84,260
1626150_2018,78,213
203952_2018,80,194
1629014_2018,76,185
1629116_2018,82,245
1627790_2018,83,254
203076_2018,82,253
201229_2018,80,250
1628469_2018,76,192
203382_2018,82,260
203085_2018,76,200
202340_2018,74,180
1629168_2018,79,200
1628389_2018,82,255
203463_2018,77,201
1627732_2018,82,230
1628656_2018,78,215
202687_2018,81,255
201933_2018,82,250
1626246_2018,87,290
1626171_2018,83,250
203992_2018,78,205
202711_2018,80,216
1629045_2018,78,225
202954_2018,76,210
203078_2018,77,207
1629164_2018,74,180
1627742_2018,81,190
202688_2018,75,195
1629102_2018,77,184
201572_2018,84,270
1628971_2018,77,202
203998_2018,81,218
1627854_2018,75,190
1627741_2018,76,214
203710_2018,77,226
203468_2018,75,190
101139_2018,78,220
1628403_2018,81,250
1629244_2018,80,225
1626166_2018,75,190
1627747_2018,79,204
2546_2018,80,240
1626224_2018,80,215
1628990_2018,79,197
202718_2018,82,230
101112_2018,84,255
1626184_2018,74,185
1627767_2018,81,220
1629002_2018,82,225
1628449_2018,82,200
1629185_2018,72,175
101108_2018,72,175
1626174_2018,82,214
203991_2018,82,240
203469_2018,84,240
1629012_2018,74,190
201147_2018,81,186
202709_2018,75,193
201584_2018,77,215
1626245_2018,82,265
1626156_2018,77,198
201571_2018,72,183
1628391_2018,82,231
203474_2018,77,188
1629541_2018,76,200
1627745_2018,84,245
203081_2018,75,195
1627814_2018,78,210
1628422_2018,78,210
1627772_2018,79,195
1628464_2018,80,243
201568_2018,82,225
201980_2018,78,215
201967_2018,80,230
203957_2018,78,190
1627863_2018,79,220
203967_2018,82,223
203121_2018,80,225
201954_2018,72,175
1629133_2018,75,185
1628021_2018,76,219
202722_2018,82,225
1628432_2018,77,208
1628368_2018,75,175
1629001_2018,76,200
201599_2018,83,265
1627761_2018,78,210
201942_2018,79,220
202326_2018,83,270
201960_2018,80,215
1629152_2018,78,200
1629028_2018,85,250
1626153_2018,77,183
1627743_2018,73,201
1629061_2018,79,200
203471_2018,73,172
1628372_2018,75,195
1629126_2018,77,245
202324_2018,82,265
1627884_2018,79,200
201565_2018,75,200
1628401_2018,76,190
1626164_2018,78,210
2734_2018,75,185
1628421_2018,80,200
1628984_2018,74,185
203473_2018,84,245
1627738_2018,83,237
1628415_2018,78,220
203079_2018,76,215
1717_2018,84,245
1627734_2018,83,240
202700_2018,84,220
1628378_2018,75,215
1628978_2018,76,203
1629055_2018,80,215
1627827_2018,80,220
203926_2018,80,225
1627733_2018,85,225
203110_2018,79,230
1629234_2018,82,245
1629130_2018,80,210
1628605_2018,76,195
1628407_2018,79,221
2730_2018,83,265
203939_2018,83,240
2548_2018,76,220
1629058_2018,81,208
202734_2018,76,191
202334_2018,82,225
1628410_2018,78,176
202327_2018,82,245
203901_2018,76,185
1629059_2018,75,190
1629150_2018,81,220
1626144_2018,77,200
202683_2018,83,250
202339_2018,73,205
201569_2018,76,215
203961_2018,82,238
101141_2018,82,235
203095_2018,79,205
202323_2018,79,220
1628402_2018,75,205
1626163_2018,84,242
1628412_2018,71,190
1628373_2018,78,200
1627832_2018,72,195
1627788_2018,79,190
202066_2018,78,195
1629109_2018,80,225
203914_2018,76,210
1627780_2018,75,190
1629018_2018,78,205
201588_2018,75,188
1628994_2018,78,220
1627777_2018,80,230
101123_2018,79,205
203507_2018,83,242
203922_2018,78,222
201609_2018,75,190
202330_2018,80,225
203476_2018,83,252
1628960_2018,77,198
202328_2018,83,265
1627824_2018,80,260
1628977_2018,77,198
203084_2018,80,225
1628385_2018,82,240
202355_2018,84,265
1629312_2018,79,220
1627740_2018,83,245
203546_2018,75,175
101133_2018,83,262
1628387_2018,82,250
202697_2018,77,215
1629067_2018,80,180
1629353_2018,84,260
1628515_2018,75,215
203477_2018,72,200
1628392_2018,84,249
1628439_2018,81,230
202738_2018,69,185
202397_2018,72,175
1628397_2018,82,220
1627826_2018,85,240
200826_2018,72,185
1629122_2018,77,205
200755_2018,76,200
2747_2018,78,225
203960_2018,81,215
203210_2018,81,227
201580_2018,84,270
203953_2018,80,245
1628980_2018,78,210
203109_2018,78,235
1626143_2018,83,275
1627774_2018,81,215
1627751_2018,84,230
1628973_2018,75,190
1627883_2018,79,220
2037_2018,77,185
1627750_2018,76,207
203516_2018,79,210
201935_2018,77,220
201949_2018,80,240
203263_2018,79,208
201162_2018,79,237
1629123_2018,75,227
1626185_2018,82,239
1628991_2018,83,242
1628417_2018,80,220
1629020_2018,81,214
1628386_2018,83,237
201160_2018,84,240
1628393_2018,72,190
1629121_2018,74,190
1627759_2018,79,220
1628537_2018,77,185
1628369_2018,80,208
201145_2018,81,235
201952_2018,74,195
1629203_2018,77,174
203924_2018,81,220
203087_2018,77,185
202391_2018,75,200
1626170_2018,76,205
1629010_2018,77,190
201573_2018,75,200
1628975_2018,74,196
202690_2018,74,195
202710_2018,80,232
201149_2018,83,230
201975_2018,76,210
1629147_2018,75,190
203925_2018,78,218
204060_2018,80,226
203954_2018,84,250
1628381_2018,82,235
203089_2018,83,219
204066_2018,77,205
203098_2018,76,215
202322_2018,76,210
1628405_2018,82,230
1629140_2018,81,228
202720_2018,82,228
1628413_2018,82,220
201973_2018,82,231
202685_2018,84,265
1628371_2018,82,210
203613_2018,78,195
1628395_2018,81,224
203903_2018,77,194
1628070_2018,76,210
203895_2018,77,179
1626296_2018,76,187
101181_2018,75,200
1628404_2018,77,215
1628367_2018,80,200
1629006_2018,76,212
1626196_2018,78,200
201950_2018,76,205
1627823_2018,81,230
1627395_2018,80,209
203944_2018,81,250
1626147_2018,78,230
203200_2018,78,181
1628382_2018,80,210
1628383_2018,84,241
1626159_2018,79,225
203994_2018,84,275
1628443_2018,75,200
203564_2018,73,195
1626157_2018,84,248
202695_2018,79,230
1628966_2018,81,229
203482_2018,84,240
1626162_2018,79,205
202689_2018,73,184
202702_2018,80,220
1629026_2018,79,210
203145_2018,77,201
203484_2018,77,205
201142_2018,81,240
1628989_2018,79,190
1628995_2018,81,215
201567_2018,82,251
1626172_2018,81,220
203920_2018,81,233
203114_2018,80,222
1629017_2018,75,210
202691_2018,79,215
1628424_2018,76,170
201585_2018,84,245
1628961_2018,82,200
1627739_2018,76,205
203937_2018,81,230
2594_2018,79,212
